I was ten years old last year.	 わたしは去年10才でした。
He was in the bank two hours ago.	彼は2時間前、銀行にいました。
She was in the park yesterday.	彼女は昨日、公園にいました。
This cat was very cute.	このネコはとてもかわいかった。
You were busy weekend.	あなたは先週末、忙しかったです。
They were late for school yestarday.	彼らは昨日、学校に遅刻しました。
The questions were difficult.	その問題は難しかった。
I was not ten years old last year.	 わたしは去年10才でした。
He was not in the bank two hours ago.	彼は2時間前、銀行にいませんでした。
She wasn't in the park yesterday.	彼女は昨日、公園にいませんでした。
This cat was not cute.	このネコはかわいくなかった。
You were not busy weekend.	あなたは先週末、忙しくなかった。
They were not late for school yestarday.	彼らは昨日、学校に遅刻しませんでした。
The questions weren't not difficult.	その問題は難しくなかった。
Was I famous in this country?	わたしはこの国で有名でしたか？
Was he in the library? No he was not.	彼は図書館にいましたか？ いいえ、いませんでした。
Was your mother in the kitchen.	あなたのお母さんはキッチンにいましたか？
Was the movie interesting?	その映画は面白かったですか？
Were you in Okinawa in last week?	あなたは先週、沖縄にいましたか？
Were they busy yesterday?	彼らは昨日、忙しかったですか？
Were These books easy? Yes, they are.	この本はかんたんでしたか？ はい、かんたんでした。
